Name                                                                    | Base Price | Type
Davlos Shirt Chestnut                                               | 600        | Clothing/Shirts
Ardent Boots Tan                                                    | 271        | Clothing/Footwear
Ponos Boots White                                                   | 415        | Clothing/Footwear
Tona Shoes Tan                                                      | 305        | Clothing/Footwear
Ponos Boots Black                                                   | 415        | Clothing/Footwear
LeMarque Pants Dark Red                                             | 477        | Clothing/Legwear
Li-Tok Boots Yellow                                                 | 195        | Clothing/Footwear
Adiva Jacket Blue                                                   | 3397       | Clothing/Jackets
Li-Tok Boots Seagreen                                               | 195        | Clothing/Footwear
Tona Shoes Sienna                                                   | 305        | Clothing/Footwear
LeMarque Pants                                                      | 375        | Clothing/Legwear
Adiva Jacket Green                                                  | 2675       | Clothing/Jackets
Li-Tok Boots Green                                                  | 216        | Clothing/Footwear
Ardent Boots Violet                                                 | 271        | Clothing/Footwear
Ardent Boots Red                                                    | 245        | Clothing/Footwear
Ponos Boots Green                                                   | 415        | Clothing/Footwear
Ponos Boots Red                                                     | 415        | Clothing/Footwear
MC-Pinhead Hat                                                      | 883        | Clothing/Hats
Ardent Boots Black                                                  | 245        | Clothing/Footwear
Kino Shoes Olive                                                    | 220        | Clothing/Footwear
Atavi Shirt Multi-blue                                              | 635        | Clothing/Shirts
Ponos Boots Seagreen                                                | 508        | Clothing/Footwear
Tona Shoes Black                                                    | 305        | Clothing/Footwear
Crusader Industries T-Shirt                                         | 820        | Clothing/Shirts
Ardent Boots Aqua                                                   | 245        | Clothing/Footwear
Li-Tok Boots Olive                                                  | 195        | Clothing/Footwear
Kino Shoes Sienna                                                   | 220        | Clothing/Footwear
RSI Hat                                                             | 820        | Clothing/Hats
Aegis Dynamics T-Shirt                                              | 820        | Clothing/Shirts
WK-8 Shoes                                                          | 335        | Clothing/Footwear
Ardent Boots Olive                                                  | 245        | Clothing/Footwear
Adiva Jacket Violet                                                 | 2675       | Clothing/Jackets
Tona Shoes White                                                    | 305        | Clothing/Footwear
LeMarque Pants Tan                                                  | 375        | Clothing/Legwear
Ardent Boots Dark Red                                               | 245        | Clothing/Footwear
Li-Tok Boots Dark Red                                               | 195        | Clothing/Footwear
LeMarque Pants Twilight                                             | 375        | Clothing/Legwear
Tona Shoes Imperial                                                 | 305        | Clothing/Footwear
Tona Shoes Green                                                    | 373        | Clothing/Footwear
Adiva Jacket Seagreen                                               | 3397       | Clothing/Jackets
Adiva Jacket Aqua                                                   | 3397       | Clothing/Jackets
Adiva Jacket Grey                                                   | 2675       | Clothing/Jackets
LeMarque Pants Olive                                                | 375        | Clothing/Legwear
Tona Shoes Dark Green                                               | 305        | Clothing/Footwear
Li-Tok Boots Imperial                                               | 195        | Clothing/Footwear
Kino Shoes Dark Green                                               | 280        | Clothing/Footwear
LeMarque Pants Black                                                | 375        | Clothing/Legwear
Ponos Boots Twilight                                                | 508        | Clothing/Footwear
Hi&Tight Shoes                                                      | 310        | Clothing/Footwear
LeMarque Pants Orange                                               | 375        | Clothing/Legwear
Kino Shoes Green                                                    | 220        | Clothing/Footwear
Adiva Jacket Orange                                                 | 2675       | Clothing/Jackets
Vestal Water                                                        | 4          | Miscellaneous/Drinks
Synergy                                                             | 6          | Miscellaneous/Drinks
Synergy+                                                            | 7          | Miscellaneous/Drinks
MSD-442 Missile Rack                                                | 8300       | Vehicle Weapons/Missile Racks
Drake Buccaneer Spinal Mount                                        | 7000       | Vehicle Weapons/Turrets
MSD-582 Missile Rack                                                | 13915      | Vehicle Weapons/Missile Racks
MSD-111 Missile Rack                                                | 1200       | Vehicle Weapons/Missile Racks
'Bullet' II Missile                                                 | 4860       | Vehicle Weapons/Missiles
Specialty Hornet S5 VariPuck Mount                                  | 14500      | Vehicle Weapons/Turrets
Omnisky VI Cannon                                                   | 33400      | Vehicle Weapons/Guns
Omnisky XVIII Cannon                                                | 855965     | Vehicle Weapons/Guns
DR Model-XJ1 Repeater                                               | 12940      | Vehicle Weapons/Guns
MSD-543 Missile Rack                                                | 20000      | Vehicle Weapons/Missile Racks
MSD-524 Missile Rack                                                | 31310      | Vehicle Weapons/Missile Racks
Marksman I Missile                                                  | 2565       | Vehicle Weapons/Missiles
M3A Cannon                                                          | 14845      | Vehicle Weapons/Guns
MSD-515 Missile Rack                                                | 46965      | Vehicle Weapons/Missile Racks
MSD-341 Missile Rack                                                | 3340       | Vehicle Weapons/Missile Racks
M6A Cannon                                                          | 169080     | Vehicle Weapons/Guns
VariPuck S6 Gimbal Mount                                            | 21000      | Vehicle Weapons/Turrets
VariPuck S8 Gimbal Mount                                            | 21750      | Vehicle Weapons/Turrets
MSD-322 Missile Rack                                                | 5000       | Vehicle Weapons/Missile Racks
MSD-683 Missile Rack                                                | 34790      | Vehicle Weapons/Missile Racks
TaskForce I Missile                                                 | 2565       | Vehicle Weapons/Missiles
Pathfinder IV Missile                                               | 14960      | Vehicle Weapons/Missiles
VariPuck S2 Gimbal Mount                                            | 2000       | Vehicle Weapons/Turrets
VariPuck S1 Gimbal Mount                                            | 1000       | Vehicle Weapons/Turrets
CVSA Cannon                                                         | 26720      | Vehicle Weapons/Guns
VariPuck S3 Gimbal Mount                                            | 3500       | Vehicle Weapons/Turrets
VariPuck S5 Gimbal Mount                                            | 11750      | Vehicle Weapons/Turrets
Thunderbolt III Missile                                             | 7875       | Vehicle Weapons/Missiles
MSD-221 Missile Rack                                                | 2005       | Vehicle Weapons/Missile Racks
MSD-212 Missile Rack                                                | 3000       | Vehicle Weapons/Missile Racks
M7A Cannon                                                          | 380430     | Vehicle Weapons/Guns
'Dragon' IV Missile                                                 | 15745      | Vehicle Weapons/Missiles
CF-337 Panther Repeater                                             | 42715      | Vehicle Weapons/Guns
Argos IX Torpedo                                                    | 297540     | Vehicle Weapons/Missiles
MSD-644 Missile Rack                                                | 52185      | Vehicle Weapons/Missile Racks
CST-313 "Castillo"                                                  | 30922      | Vehicle Weapons/Bomb Racks
Quarreler Cannon                                                    | 83055      | Vehicle Weapons/Guns
Suckerpunch Cannon                                                  | 18750      | Vehicle Weapons/Guns
MSD-414 Missile Rack                                                | 18785      | Vehicle Weapons/Missile Racks
VariPuck S4 Gimbal Mount                                            | 6500       | Vehicle Weapons/Turrets
CF-447 Rhino Repeater                                               | 96110      | Vehicle Weapons/Guns
MSD-313 Missile Rack                                                | 7500       | Vehicle Weapons/Missile Racks
MSD-423 Missile Rack                                                | 12525      | Vehicle Weapons/Missile Racks
Smoltz (Bottle)                                                     | 12         | Miscellaneous/Drinks
Tumbler Glass                                                       | 8          | Miscellaneous/Drinks
Highball Glass                                                      | 8          | Miscellaneous/Drinks
Pint Glass                                                          | 7          | Miscellaneous/Drinks
Tona Shoes Yellow                                                   | 305        | Clothing/Footwear
Adiva Jacket Red                                                    | 2675       | Clothing/Jackets
MC-Green Hat                                                        | 740        | Clothing/Hats
Davlos Shirt Steel                                                  | 600        | Clothing/Shirts
Tona Shoes Seagreen                                                 | 373        | Clothing/Footwear
Tona Shoes Grey                                                     | 305        | Clothing/Footwear
Li-Tok Boots Sienna                                                 | 195        | Clothing/Footwear
Ardent Boots                                                        | 245        | Clothing/Footwear
Li-Tok Boots White                                                  | 216        | Clothing/Footwear
Tona Shoes                                                          | 305        | Clothing/Footwear
LeMarque Pants Sienna                                               | 375        | Clothing/Legwear
Kino Shoes Orange                                                   | 220        | Clothing/Footwear
Crusader Industries Hat                                             | 820        | Clothing/Hats
Li-Tok Boots Blue                                                   | 195        | Clothing/Footwear
Ardent Boots Orange                                                 | 245        | Clothing/Footwear
Vestal Water                                                        | 4          | Miscellaneous/Drinks
LeMarque Pants Green                                                | 375        | Clothing/Legwear
Ponos Boots Yellow                                                  | 415        | Clothing/Footwear
Ponos Boots Purple                                                  | 415        | Clothing/Footwear
Ardent Boots Sienna                                                 | 245        | Clothing/Footwear
Tona Shoes Orange                                                   | 305        | Clothing/Footwear
Tona Shoes Blue                                                     | 305        | Clothing/Footwear
Consolidated Outland T-Shirt                                        | 820        | Clothing/Shirts
RipTops Shoes                                                       | 343        | Clothing/Footwear
Ponos Boots Violet                                                  | 415        | Clothing/Footwear
Ponos Boots Grey                                                    | 415        | Clothing/Footwear
Tona Shoes Olive                                                    | 305        | Clothing/Footwear
MC-DFA Hat                                                          | 792        | Clothing/Hats
Li-Tok Boots Orange                                                 | 195        | Clothing/Footwear
Tona Shoes Violet                                                   | 305        | Clothing/Footwear
Tona Shoes Aqua                                                     | 373        | Clothing/Footwear
MC-Black Hat                                                        | 740        | Clothing/Hats
Ponos Boots Imperial                                                | 415        | Clothing/Footwear
Ponos Boots Tan                                                     | 508        | Clothing/Footwear
MC-Gray Hat                                                         | 740        | Clothing/Hats
CRUZ Lux                                                            | 7          | Miscellaneous/Drinks
Protean Boots                                                       | 560        | Clothing/Footwear
Ardent Boots Seagreen                                               | 245        | Clothing/Footwear
Tona Shoes Dark Red                                                 | 373        | Clothing/Footwear
Kino Shoes Imperial                                                 | 220        | Clothing/Footwear
Ponos Boots Orange                                                  | 415        | Clothing/Footwear
Ardent Boots Green                                                  | 271        | Clothing/Footwear
Ponos Boots Dark Green                                              | 410        | Clothing/Footwear
Li-Tok Boots Red                                                    | 216        | Clothing/Footwear
Davlos Shirt Chestnut                                               | 600        | Clothing/Shirts
Ardent Boots Tan                                                    | 271        | Clothing/Footwear
Ponos Boots White                                                   | 415        | Clothing/Footwear
Tona Shoes Tan                                                      | 305        | Clothing/Footwear
Ponos Boots Black                                                   | 415        | Clothing/Footwear
LeMarque Pants Dark Red                                             | 477        | Clothing/Legwear
Li-Tok Boots Yellow                                                 | 195        | Clothing/Footwear
Adiva Jacket Blue                                                   | 3397       | Clothing/Jackets
Li-Tok Boots Seagreen                                               | 195        | Clothing/Footwear
Tona Shoes Sienna                                                   | 305        | Clothing/Footwear
LeMarque Pants                                                      | 375        | Clothing/Legwear
Adiva Jacket Green                                                  | 2675       | Clothing/Jackets
Li-Tok Boots Green                                                  | 216        | Clothing/Footwear
Ardent Boots Violet                                                 | 271        | Clothing/Footwear
Ardent Boots Red                                                    | 245        | Clothing/Footwear
Ponos Boots Green                                                   | 415        | Clothing/Footwear
Ponos Boots Red                                                     | 415        | Clothing/Footwear
MC-Pinhead Hat                                                      | 883        | Clothing/Hats
Ardent Boots Black                                                  | 245        | Clothing/Footwear
Kino Shoes Olive                                                    | 220        | Clothing/Footwear
Atavi Shirt Multi-blue                                              | 635        | Clothing/Shirts
Ponos Boots Seagreen                                                | 508        | Clothing/Footwear
Tona Shoes Black                                                    | 305        | Clothing/Footwear
Crusader Industries T-Shirt                                         | 820        | Clothing/Shirts
Ardent Boots Aqua                                                   | 245        | Clothing/Footwear
Li-Tok Boots Olive                                                  | 195        | Clothing/Footwear
Kino Shoes Sienna                                                   | 220        | Clothing/Footwear
RSI Hat                                                             | 820        | Clothing/Hats
Aegis Dynamics T-Shirt                                              | 820        | Clothing/Shirts
WK-8 Shoes                                                          | 335        | Clothing/Footwear
Ardent Boots Olive                                                  | 245        | Clothing/Footwear
Adiva Jacket Violet                                                 | 2675       | Clothing/Jackets
Tona Shoes White                                                    | 305        | Clothing/Footwear
LeMarque Pants Tan                                                  | 375        | Clothing/Legwear
Ardent Boots Dark Red                                               | 245        | Clothing/Footwear
Li-Tok Boots Dark Red                                               | 195        | Clothing/Footwear
LeMarque Pants Twilight                                             | 375        | Clothing/Legwear
Tona Shoes Imperial                                                 | 305        | Clothing/Footwear
Tona Shoes Green                                                    | 373        | Clothing/Footwear
Adiva Jacket Seagreen                                               | 3397       | Clothing/Jackets
Adiva Jacket Aqua                                                   | 3397       | Clothing/Jackets
Adiva Jacket Grey                                                   | 2675       | Clothing/Jackets
LeMarque Pants Olive                                                | 375        | Clothing/Legwear
Tona Shoes Dark Green                                               | 305        | Clothing/Footwear
Li-Tok Boots Imperial                                               | 195        | Clothing/Footwear
Kino Shoes Dark Green                                               | 280        | Clothing/Footwear
LeMarque Pants Black                                                | 375        | Clothing/Legwear
Ponos Boots Twilight                                                | 508        | Clothing/Footwear
Hi&Tight Shoes                                                      | 310        | Clothing/Footwear
LeMarque Pants Orange                                               | 375        | Clothing/Legwear
Kino Shoes Green                                                    | 220        | Clothing/Footwear
Adiva Jacket Orange                                                 | 2675       | Clothing/Jackets
Odyssey II Helmet Aqua                                              | 1290       | Armor/Helmets
LH86 Pistol Magazine (25 cap)                                       | 164        | Personal Weapons/Attachments
Gallant Rifle Battery (45 cap)                                      | 374        | Personal Weapons/Attachments
Gallant "Stormfall" Rifle                                           | 4776       | Personal Weapons/Personal Weapons
Morozov-SH Arms Terracotta                                          | 2639       | Armor/Arms
MacFlex Legs Twilight                                               | 1089       | Armor/Legs
PAB-1 Arms                                                          | 584        | Armor/Arms
Calico Legs Tactical                                                | 914        | Armor/Legs
Prism Laser Shotgun Battery (20 cap)                                | 248        | Personal Weapons/Attachments
Field Recon Suit Core                                               | 1780       | Armor/Torso
Beacon Undersuit Brown/Black                                        | 1000       | Undersuits/Undersuits
Deadrig Shotgun Magazine (8 cap)                                    | 525        | Personal Weapons/Attachments
P8-SC "Desert Shadow" SMG                                           | 3296       | Personal Weapons/Personal Weapons
Lumin V SMG Battery (45 cap)                                        | 400        | Personal Weapons/Attachments
Venture Arms Imperial                                               | 586        | Armor/Arms
MacFlex Core Olive                                                  | 1780       | Armor/Torso
S-38 Pistol                                                         | 975        | Personal Weapons/Personal Weapons
P4-AR Magazine (40 cap)                                             | 212        | Personal Weapons/Attachments
S71 Rifle Magazine (30 cap)                                         | 281        | Personal Weapons/Attachments
Animus Missile Launcher Magazine (3 cap)                            | 5130       | Personal Weapons/Attachments
Venture Helmet White (01_01_10)                                     | 1705       | Armor/Helmets
Venture Helmet White (01_01_01)                                     | 1700       | Armor/Helmets
Morozov-SH Core                                                     | 9500       | Armor/Torso
Calico Arms Tactical                                                | 501        | Armor/Arms
Custodian SMG Magazine (60 cap)                                     | 327        | Personal Weapons/Attachments
Venture Arms Twilight                                               | 586        | Armor/Arms
Ravager-212 Twin Shotgun Magazine (16 cap)                          | 537        | Personal Weapons/Attachments
MacFlex Legs White                                                  | 1089       | Armor/Legs
MacFlex Arms Black                                                  | 584        | Armor/Arms
PAB-1 Legs                                                          | 1046       | Armor/Legs
Lynx Arms Embark                                                    | 470        | Armor/Arms
BR-2 Shotgun Magazine (12 cap)                                      | 250        | Personal Weapons/Attachments
CBH-3 Helmet Base                                                   | 1626       | Armor/Helmets
Ravager-212 Twin Shotgun                                            | 4262       | Personal Weapons/Personal Weapons
Parallax Rifle Battery (80 Cap)                                     | 721        | Personal Weapons/Attachments
Lynx Core Abyss                                                     | 1456       | Armor/Torso
C54 SMG Magazine (50 cap)                                           | 250        | Personal Weapons/Attachments
MacFlex Legs Yellow                                                 | 1089       | Armor/Legs
Beacon Undersuit Grey/Aqua                                          | 1000       | Undersuits/Undersuits
Devastator "Warhawk" Shotgun                                        | 4365       | Personal Weapons/Personal Weapons
MK-4 Frag Grenade                                                   | 296        | Personal Weapons/Personal Weapons
MacFlex Backpack Orange                                             | 1320       | Armor/Backpacks
Lynx Arms                                                           | 470        | Armor/Arms
Venture Undersuit Green/Black                                       | 1000       | Undersuits/Undersuits
Venture Undersuit Red/White                                         | 1000       | Undersuits/Undersuits
Gallant "Desert Shadow" Rifle                                       | 4776       | Personal Weapons/Personal Weapons
Odyssey II Undersuit Grey/Black                                     | 1000       | Undersuits/Undersuits
OxyPen                                                              | 260        | Miscellaneous/Consumables
Oracle Helmet                                                       | 1200       | Armor/Helmets
MacFlex Arms Aqua                                                   | 584        | Armor/Arms
Horizon Helmet Seagreen                                             | 1602       | Armor/Helmets
Custodian "Boneyard" SMG                                            | 2657       | Personal Weapons/Personal Weapons
Venture Undersuit Blue                                              | 1000       | Undersuits/Undersuits
Arclight "Boneyard" Pistol                                          | 1021       | Personal Weapons/Personal Weapons
Morozov-SH Arms Snowdrift                                           | 2639       | Armor/Arms
Arrowhead Sniper Rifle Battery (16 cap)                             | 491        | Personal Weapons/Attachments
Venture Undersuit Blue/Black                                        | 1000       | Undersuits/Undersuits
Calico Helmet Tactical                                              | 1461       | Armor/Helmets
Morozov-SH Legs Brushdrift                                          | 4671       | Armor/Legs
Stoneskin Undersuit                                                 | 1000       | Undersuits/Undersuits
Venture Undersuit Olive/Black (Damaged)                             | 1000       | Undersuits/Undersuits
MacFlex Legs Seagreen                                               | 1089       | Armor/Legs
Odyssey II Undersuit Violet/Black                                   | 1000       | Undersuits/Undersuits
Field Recon Suit Arms                                               | 579        | Armor/Arms
BR-2 Shotgun                                                        | 4996       | Personal Weapons/Personal Weapons
Custodian SMG                                                       | 2300       | Personal Weapons/Personal Weapons
Lynx Core Embark                                                    | 1456       | Armor/Torso
Pink QuikFlare                                                      | 23         | Personal Weapons/Personal Weapons
Calico Core Tactical                                                | 1514       | Armor/Torso
Beacon Undersuit Green/Black                                        | 1000       | Undersuits/Undersuits
Beacon Undersuit Orange                                             | 1000       | Undersuits/Undersuits
Venture Legs Dark Red                                               | 1168       | Armor/Legs
Horizon Helmet Dark Green                                           | 1602       | Armor/Helmets
Field Recon Suit Helmet                                             | 1589       | Armor/Helmets
MedPen (Hemozal)                                                    | 265        | Miscellaneous/Consumables
Odyssey II Helmet Green                                             | 1290       | Armor/Helmets
Morozov-SH Legs                                                     | 4300       | Armor/Legs
Venture Core Imperial                                               | 1780       | Armor/Torso
Atzkav Sniper Rifle Battery (8 cap)                                 | 475        | Personal Weapons/Attachments
Venture Core Green                                                  | 1780       | Armor/Torso
Quartz Energy SMG Battery (50 cap)                                  | 313        | Personal Weapons/Attachments
Devastator Shotgun Battery (12 cap)                                 | 444        | Personal Weapons/Attachments
Horizon Helmet                                                      | 1600       | Armor/Helmets
Morozov-SH Legs Terracotta                                          | 4393       | Armor/Legs
Oracle Helmet Embark                                                | 1290       | Armor/Helmets
Gallant "Nightstalker" Rifle                                        | 4776       | Personal Weapons/Personal Weapons
S-38 Magazine (20 cap)                                              | 150        | Personal Weapons/Attachments
Venture Legs White                                                  | 1168       | Armor/Legs
Venture Helmet Grey                                                 | 1705       | Armor/Helmets
P8-SC SMG Magazine (45 cap)                                         | 317        | Personal Weapons/Attachments
Coda Pistol Magazine (6 cap)                                        | 117        | Personal Weapons/Attachments
Karna Rifle Battery (35 cap)                                        | 234        | Personal Weapons/Attachments
Fresnel Energy LMG Battery (165 Cap)                                | 941        | Personal Weapons/Attachments
Morozov-SH Helmet (01_01_01)                                        | 7900       | Armor/Helmets
Scourge Railgun Magazine (5 cap)                                    | 6635       | Personal Weapons/Attachments
Beacon Undersuit Yellow                                             | 1000       | Undersuits/Undersuits
Venture Core Aqua                                                   | 1780       | Armor/Torso
Morozov-CH Backpack Terracotta                                      | 2400       | Armor/Backpacks
Horizon Helmet Sienna                                               | 1602       | Armor/Helmets
Odyssey II Helmet Orange                                            | 1290       | Armor/Helmets
Venture Arms Purple                                                 | 586        | Armor/Arms
Venture Core Grey                                                   | 1780       | Armor/Torso
Yubarev Pistol Battery (10 cap)                                     | 150        | Personal Weapons/Attachments
Venture Helmet Dark Red                                             | 1705       | Armor/Helmets
MacFlex Arms Red                                                    | 584        | Armor/Arms
Venture Undersuit Olive/Black                                       | 1000       | Undersuits/Undersuits
Venture Helmet Seagreen                                             | 1705       | Armor/Helmets
Morozov-SH Helmet Terracotta                                        | 7952       | Armor/Helmets
Gamma Duo (2x Holographic)                                          | 700        | Personal Weapons/Attachments
Salvo Frag Pistol Magazine (8 cap)                                  | 75         | Personal Weapons/Attachments
P6-LR Magazine (8 cap)                                              | 450        | Personal Weapons/Attachments
Horizon Helmet Violet                                               | 1602       | Armor/Helmets
LH86 Pistol                                                         | 967        | Personal Weapons/Personal Weapons
R97 Shotgun Magazine (18 cap)                                       | 491        | Personal Weapons/Attachments
FS-9 Magazine (75 cap)                                              | 525        | Personal Weapons/Attachments
Demeco LMG Battery (100 cap)                                        | 520        | Personal Weapons/Attachments
Lynx Legs Embark                                                    | 830        | Armor/Legs
Pulse Laser Pistol Battery (60 Cap)                                 | 75         | Personal Weapons/Attachments
Beacon Undersuit                                                    | 1000       | Undersuits/Undersuits
Coda Pistol                                                         | 940        | Personal Weapons/Personal Weapons
Horizon Helmet Dark Red                                             | 1602       | Armor/Helmets
Horizon Helmet Grey                                                 | 1602       | Armor/Helmets
MacFlex Arms Tan                                                    | 584        | Armor/Arms
Lynx Legs                                                           | 830        | Armor/Legs
A03 Sniper Rifle Magazine (15 cap)                                  | 400        | Personal Weapons/Attachments
P8-SC "Nightstalker" SMG                                            | 3296       | Personal Weapons/Personal Weapons
Renegade Helmet Tactical                                            | 1375       | Armor/Helmets
Odyssey II Helmet Red                                               | 1290       | Armor/Helmets
Morozov-SH Core Terracotta                                          | 9587       | Armor/Torso
Morozov-CH Backpack                                                 | 2400       | Armor/Backpacks
Venture Legs Violet                                                 | 1168       | Armor/Legs
MacFlex Core Sienna                                                 | 1780       | Armor/Torso
Field Recon Suit Legs                                               | 536        | Armor/Legs
MacFlex Arms Twilight                                               | 584        | Armor/Arms
MacFlex Arms Seagreen                                               | 584        | Armor/Arms
PAB-1 Core                                                          | 1500       | Armor/Torso
CSP-68L Backpack                                                    | 1450       | Armor/Backpacks
Beacon Undersuit Orange/Black                                       | 1000       | Undersuits/Undersuits
Stoneskin Helmet Desert                                             | 1290       | Armor/Helmets
Odyssey II Undersuit Red/Black                                      | 1000       | Undersuits/Undersuits
TCS-4 Undersuit                                                     | 1000       | Undersuits/Undersuits
MacFlex Backpack Granite Red                                        | 1320       | Armor/Backpacks
Venture Legs Yellow                                                 | 1168       | Armor/Legs
Scalpel Sniper Rifle Magazine (12 cap)                              | 584        | Personal Weapons/Attachments
Morozov-SH Arms (01_01_01)                                          | 2600       | Armor/Arms
F55 LMG Magazine (150 cap)                                          | 817        | Personal Weapons/Attachments
WowBlast Desperado Toy Pistol Magazine (10 cap)                     | 5          | Personal Weapons/Attachments
Venture Legs Tan                                                    | 1168       | Armor/Legs
Emod Stabilizer3                                                    | 525        | Personal Weapons/Attachments
P8-AR Rifle Magazine (15 Cap)                                       | 150        | Personal Weapons/Attachments
MacFlex Arms White                                                  | 584        | Armor/Arms
Beacon Undersuit Purple/Black                                       | 1000       | Undersuits/Undersuits
MacFlex Core Dark Green                                             | 1780       | Armor/Torso
Arclight Pistol Battery (30 cap)                                    | 257        | Personal Weapons/Attachments
MacFlex Core Dark Red                                               | 1780       | Armor/Torso
Venture Helmet Tan                                                  | 1705       | Armor/Helmets
Gamma (1x Holographic)                                              | 400        | Personal Weapons/Attachments
Beacon Undersuit Grey                                               | 1000       | Undersuits/Undersuits
MacFlex Core                                                        | 1700       | Armor/Torso
MacFlex Core Purple                                                 | 1780       | Armor/Torso
CSP-68M Backpack                                                    | 2090       | Armor/Backpacks
Zenith Laser Sniper Rifle Battery (22 Cap)                          | 347        | Personal Weapons/Attachments
Horizon Helmet Yellow                                               | 1602       | Armor/Helmets
Venture Arms Dark Green                                             | 586        | Armor/Arms
Vestal Water                                                        | 4          | Miscellaneous/Drinks
Synergy                                                             | 6          | Miscellaneous/Drinks
Synergy+                                                            | 7          | Miscellaneous/Drinks

Stanton - ARC-L4 - Hangars&Habs - Medical Clinic - Pharmacy

LifeGuard Refill                                                    | 125        | Personal Weapons/Attachments
CorticoPen (Sterogen)                                               | 295        | Miscellaneous/Consumables
ParaMed Medical Device                                              | 1500       | Personal Weapons/Personal Weapons
OxyPen                                                              | 260        | Miscellaneous/Consumables
LifeGuard Medical Attachment                                        | 350        | Personal Weapons/Attachments
DetoxPen (Resurgera)                                                | 240        | Miscellaneous/Consumables
MedPen (Hemozal)                                                    | 265        | Miscellaneous/Consumables
AdrenaPen (Demexatrine)                                             | 260        | Miscellaneous/Consumables
DeconPen (Canoiodide)                                               | 260        | Miscellaneous/Consumables
OpioPen (Roxaphen)                                                  | 240        | Miscellaneous/Consumables
ParaMed Refill                                                      | 250        | Personal Weapons/Attachments
Greycat ROC                                                         | 2598       | Vehicle/Vehicle
Drake Cutlass Black                                                 | 52920      | Vehicle/Vehicle
Argo MOLE                                                           | 223256     | Vehicle/Vehicle
MISC Prospector                                                     | 73237      | Vehicle/Vehicle

Stanton - ARC-L4 - Refinery - Service - Mining support center - Refinery Shop

TruHold Tractor Beam Attachment                                     | 450        | Personal Weapons/Attachments
Cal-O-Meal "Chocolate Deluxe" Protein Bar                           | 4          | Miscellaneous/Foods
BoreMax                                                             | 12750      | Utility/Gadgets
Arbor MHV Mining Laser                                              | 5150       | Utility/Mining Laser Heads
Edgewear Pants Aqua                                                 | 465        | Clothing/Legwear
Landlite Boots Black                                                | 235        | Clothing/Footwear
Stalwart                                                            | 20190      | Utility/Gadgets
MacFlex Legs                                                        | 1089       | Armor/Legs
ClipVest Work Harness Grey                                          | 1325       | Clothing/Jackets
Clempt Pants Black                                                  | 510        | Clothing/Legwear
Hardline Hard Hat Black                                             | 325        | Clothing/Hats
GSX-HP                                                              | 115200     | Utility/External Fuel Tanks
OptiMax                                                             | 27625      | Utility/Gadgets
Stampede Module                                                     | 1400       | Utility/Mining Modules
S00 Hofstede                                                        | 5750       | Utility/Mining Laser Heads
ViseLock S3 Tractor Beam                                            | 24400      | Utility/Tractor Beams
Davin Work Gloves Aqua                                              | 180        | Clothing/Gloves
Clempt Pants mT Edition                                             | 510        | Clothing/Legwear
Toughlife Boots Olive                                               | 245        | Clothing/Footwear
Clempt Pants                                                        | 510        | Clothing/Legwear
Gauntlet Gloves                                                     | 160        | Clothing/Gloves
Ready-Up Helmet Orange                                              | 270        | Clothing/Hats
Clempt Pants Orange                                                 | 510        | Clothing/Legwear
Landlite Boots Grey                                                 | 235        | Clothing/Footwear
SureGrip PR-S3 Tractor Beam                                         | 24400      | Utility/Tractor Beams
MaxLift Tractor Beam                                                | 19175      | Personal Weapons/Personal Weapons
WorkLife Pants Black                                                | 420        | Clothing/Legwear
Impact II Mining Laser                                              | 57750      | Utility/Mining Laser Heads
WorkLife Pants Tan                                                  | 420        | Clothing/Legwear
SureGrip S1 Tractor Beam                                            | 4600       | Utility/Tractor Beams
SureGrip HV-S1 Tractor Beam                                         | 4600       | Utility/Tractor Beams
Rieger-C2 Module                                                    | 18000      | Utility/Mining Modules
Edgewear Pants Black                                                | 465        | Clothing/Legwear
Pyro RYT Multi-Tool                                                 | 485        | Personal Weapons/Personal Weapons
SureGrip HV-S2 Tractor Beam                                         | 12200      | Utility/Tractor Beams
Landlite Boots Olive                                                | 235        | Clothing/Footwear
SureGrip HV-S3 Tractor Beam                                         | 24400      | Utility/Tractor Beams
Cordimon Jacket Olive                                               | 1275       | Clothing/Jackets
IndVest Jacket Black                                                | 1485       | Clothing/Jackets
Lawson Mining Laser                                                 | 4950       | Utility/Mining Laser Heads
Klein-S2 Mining Laser                                               | 20150      | Utility/Mining Laser Heads
Arbor MH2 Mining Laser                                              | 21450      | Utility/Mining Laser Heads
IndVest Jacket mT Edition                                           | 1485       | Clothing/Jackets
Stor*All 1 SCU Self-Storage Container                               | 2100       | Utility/Containers
Rieger Module                                                       | 6000       | Utility/Mining Modules
Davin Work Gloves                                                   | 180        | Clothing/Gloves
Edgewear Pants Olive                                                | 465        | Clothing/Legwear
Torpid Module                                                       | 1950       | Utility/Mining Modules
Rime Module                                                         | 1100       | Utility/Mining Modules
Drake Ore Pod                                                       | 25500      | Utility/Containers
IndVest Jacket Grey                                                 | 1485       | Clothing/Jackets
Hardline Hard Hat Hazard                                            | 325        | Clothing/Hats
ClipVest Work Harness Orange                                        | 1325       | Clothing/Jackets
Ready-Up Helmet Black                                               | 270        | Clothing/Hats
OxyPen                                                              | 260        | Miscellaneous/Consumables
Torrent III Module                                                  | 40000      | Utility/Mining Modules
Wanderer Boots Base                                                 | 225        | Clothing/Footwear
