=== FPS ARMOR ===

=== HELMETS ===
Name                                               | Type            | Damage reduction | Min temp (°C) | Max temp (°C) | Radiation Resistnace (REM) | Radiation Scrub Rate (REM/s) | Capacity (μSCU) | Volume (μSCU) | Image
Clash Core                                       | Medium Armor | 30%              | -52           | 82            | 26400                      | 145.8                        | 7500            | 42000         |      
Aves Core                                        | Medium Armor | 30%              | -61           | 91            | 26400                      | 145.8                        | 7500            | 42000         |      
PAB-1 Core Aqua                                  | Light Armor  | 20%              | -40           | 70            | 26000                      | 145.8                        | 4000            | 34000         |      
DustUp Core Firestarter                          | Medium Armor | 30%              | -60           | 90            | 26400                      | 145.8                        | 7500            | 42000         |      
Inquisitor Core Neon Pink                        | Medium Armor | 30%              | -56           | 86            | 26400                      | 145.8                        | 8500            | 42000         |      
TrueDef-Pro Core Red/Silver                      | Light Armor  | 20%              | -35           | 65            | 26000                      | 145.8                        | 5000            | 34000         |      
TrueDef-Pro Core Black/Silver (01_01_11)         | Light Armor  | 20%              | -35           | 65            | 26000                      | 145.8                        | 5000            | 34000         |      
ORC-mkX Core Woodland                            | Light Armor  | 20%              | -61           | 91            | 26400                      | 145.8                        | 7500            | 42000         |      
Aves Shrike Core                                 | Medium Armor | 30%              | -61           | 91            | 26400                      | 145.8                        | 7500            | 42000         |      
Survivalist Heavy Core White-Blue                | Heavy Armor  | 40%              | -77           | 107           | 26800                      | 145.8                        | 12000           | 55000         |      
PAB-1 Core Black                                 | Light Armor  | 20%              | -40           | 70            | 26000                      | 145.8                        | 4000            | 34000         |      
ADP-mk4 Core Woodland                            | Heavy Armor  | 40%              | -70           | 100           | 26800                      | 145.8                        | 10500           | 55000         |      
Defiance Core Sunchaser                          | Heavy Armor  | 40%              | -72           | 102           | 26800                      | 145.8                        | 10500           | 55000         |      
Lynx Core Seagreen                               | Light Armor  | 20%              | -31           | 61            | 26000                      | 145.8                        | 8000            | 34000         |      
Geist Armor Core Rogue                           | Light Armor  | 20%              | -35           | 65            | 26000                      | 145.8                        | 8000            | 34000         |      
PAB-1 Core Seagreen                              | Light Armor  | 20%              | -40           | 70            | 26000                      | 145.8                        | 4000            | 34000         |      
Inquisitor Core Olive (01_01_21)                 | Medium Armor | 30%              | -56           | 86            | 26400                      | 145.8                        | 8500            | 42000         |      
Citadel Core Icefall                             | Heavy Armor  | 40%              | -80           | 110           | 26800                      | 145.8                        | 10500           | 55000         |      
PAB-1 Core White                                 | Light Armor  | 20%              | -40           | 70            | 26000                      | 145.8                        | 4000            | 34000         |      
Venture Core Aqua                                | Light Armor  | 20%              | -38           | 68            | 26000                      | 145.8                        | 9000            | 34000         |      
Venture Core Yellow                              | Light Armor  | 20%              | -38           | 68            | 26000                      | 145.8                        | 9000            | 34000         |      
Aril Core Hazard                                 | Medium Armor | 30%              | -61           | 91            | 26400                      | 145.8                        | 15000           | 42000         |      
TrueDef-Pro Core Aqua/Black                      | Light Armor  | 20%              | -35           | 65            | 26000                      | 145.8                        | 5000            | 34000         |      
Inquisitor Core                                  | Medium Armor | 30%              | -56           | 86            | 26400                      | 145.8                        | 8500            | 42000         |      
ORC-mkX Core Righteous                           | Medium Armor | 30%              | -61           | 91            | 26400                      | 145.8                        | 7500            | 42000         |      
TrueDef-Pro Core Black/White/Violet              | Light Armor  | 20%              | -35           | 65            | 26000                      | 145.8                        | 5000            | 34000         |      
Venture Core Dark Green                          | Light Armor  | 20%              | -38           | 68            | 26000                      | 145.8                        | 9000            | 34000         |      
Aril Core Harvester                              | Medium Armor | 30%              | -61           | 91            | 26400                      | 145.8                        | 15000           | 42000         |      
Piecemeal Armor Core                             | Light Armor  | 20%              | -31           | 61            | 26000                      | 145.8                        | 2000            | 34000         |      
Venture Core Grey                                | Light Armor  | 20%              | -38           | 68            | 26000                      | 145.8                        | 9000            | 34000         |      
Carnifex Armor Core (01_01_13)                   | Light Armor  | 20%              | -5            | 38            | 26000                      | 145.8                        | 2000            | 34000         |      
PAB-1 Core Imperial                              | Light Armor  | 20%              | -40           | 70            | 26000                      | 145.8                        | 4000            | 34000         |      
Venture Core Twilight                            | Light Armor  | 20%              | -38           | 68            | 26000                      | 145.8                        | 9000            | 34000         |      
Inquisitor Core Orange                           | Medium Armor | 30%              | -56           | 86            | 26400                      | 145.8                        | 8500            | 42000         |      
Geist Armor Core Snow Camo                       | Light Armor  | 20%              | -35           | 65            | 26000                      | 145.8                        | 8000            | 34000         |      
Carnifex Armor Core (01_01_01)                   | Light Armor  | 20%              | -5            | 38            | 26000                      | 145.8                        | 2000            | 34000         |      
Citadel Core Roughshod                           | Heavy Armor  | 40%              | -80           | 110           | 26800                      | 145.8                        | 10500           | 55000         |      
Overlord Core Switchback                         | Heavy Armor  | 40%              | -77           | 107           | 26800                      | 145.8                        | 12000           | 55000         |      
TrueDef-Pro Core Black/Silver/Green              | Light Armor  | 20%              | -35           | 65            | 26000                      | 145.8                        | 5000            | 34000         |      
Lynx Core Sandstorm                              | Light Armor  | 20%              | -31           | 61            | 26000                      | 145.8                        | 8000            | 34000         |      
Venture Core White                               | Light Armor  | 20%              | -38           | 68            | 26000                      | 145.8                        | 9000            | 34000         |      
MacFlex Core Black                               | Light Armor  | 20%              | -37           | 67            | 26000                      | 145.8                        | 9000            | 34000         |      
ADP Core White                                   | Heavy Armor  | 40%              | -75           | 105           | 26800                      | 145.8                        | 10500           | 55000         |      
Citadel Core Dark Red                            | Heavy Armor  | 40%              | -80           | 110           | 26800                      | 145.8                        | 10500           | 55000         |      
Arden-SL Core                                    | Light Armor  | 20%              | -35           | 65            | 26000                      | 145.8                        | 8000            | 34000         |      
Overlord Core Riptide                            | Heavy Armor  | 40%              | -77           | 107           | 26800                      | 145.8                        | 12000           | 55000         |      
Lynx Core Draas                                  | Light Armor  | 20%              | -31           | 61            | 26000                      | 145.8                        | 8000            | 34000         |      
FBL-8a Core Imperial Red                         | Light Armor  | 20%              | -32           | 62            | 26000                      | 145.8                        | 4000            | 34000         |      
ORC-mkX Core Iceborn                             | Light Armor  | 20%              | -61           | 91            | 26400                      | 145.8                        | 7500            | 42000         |      
Citadel Core Outcrop                             | Heavy Armor  | 40%              | -80           | 110           | 26800                      | 145.8                        | 10500           | 55000         |      
Lynx Core Green                                  | Light Armor  | 20%              | -31           | 61            | 26000                      | 145.8                        | 8000            | 34000         |      
Arden-SL Core Coramor Edition "Fate"             | Light Armor  | 20%              | -35           | 65            | 26000                      | 145.8                        | 8000            | 34000         |      
Arden-SL Core Balefire                           | Light Armor  | 20%              | -35           | 65            | 26000                      | 145.8                        | 8000            | 34000         |      
Piecemeal Armor Core Grey                        | Light Armor  | 20%              | -31           | 61            | 26000                      | 145.8                        | 2000            | 34000         |      
ORC-mkV Core Executive                           | Medium Armor | 30%              | -55           | 85            | 26400                      | 145.8                        | 7500            | 42000         |      
ORC-mkV Core Sakura Sun Edition                  | Medium Armor | 30%              | -55           | 85            | 26400                      | 145.8                        | 7500            | 42000         |      
Corbel Core Mire                                 | Heavy Armor  | 40%              | -70           | 100           | 26800                      | 145.8                        | 8000            | 55000         |      
Inquisitor Core Earthwork                        | Medium Armor | 30%              | -56           | 86            | 26400                      | 145.8                        | 8500            | 42000         |      
Aves Starchaser Core                             | Medium Armor | 30%              | -61           | 91            | 26400                      | 145.8                        | 7500            | 42000         |      
TrueDef-Pro Core (Modified)                      | Light Armor  | 20%              | -35           | 65            | 26000                      | 145.8                        | 5000            | 34000         |      
Ana Armor Core Endro                             | Heavy Armor  | 40%              | -95           | 120           | 26800                      | 145.8                        | 10500           | 55000         |      
ORC-mkV Core Dark Red                            | Medium Armor | 30%              | -55           | 85            | 26400                      | 145.8                        | 7500            | 42000         |      
TrueDef-Pro Core Base                            | Light Armor  | 20%              | -35           | 65            | 26000                      | 145.8                        | 5000            | 34000         |      
TrueDef-Pro Core Yellow/Black                    | Light Armor  | 20%              | -35           | 65            | 26000                      | 145.8                        | 5000            | 34000         |      
Venture Core Purple                              | Light Armor  | 20%              | -38           | 68            | 26000                      | 145.8                        | 9000            | 34000         |      
DustUp Core Scorched                             | Medium Armor | 30%              | -60           | 90            | 26400                      | 145.8                        | 7500            | 42000         |      
TrueDef-Pro Core Grey/Green                      | Light Armor  | 20%              | -35           | 65            | 26000                      | 145.8                        | 5000            | 34000         |      
Lynx Core White                                  | Light Armor  | 20%              | -31           | 61            | 26000                      | 145.8                        | 8000            | 34000         |      
Venture Core Starcrossed                         | Light Armor  | 20%              | -38           | 68            | 26000                      | 145.8                        | 9000            | 34000         |      
Lynx Core Blue                                   | Light Armor  | 20%              | -31           | 61            | 26000                      | 145.8                        | 8000            | 34000         |      
Arden-SL Core Red Alert                          | Light Armor  | 20%              | -35           | 65            | 26000                      | 145.8                        | 8000            | 34000         |      
Morozov-SH-I Core Pyrotechnic                    | Heavy Armor  | 40%              | -75           | 105           | 26800                      | 145.8                        | 12000           | 55000         |      
ORC-mkV Core Grey                                | Medium Armor | 30%              | -55           | 85            | 26400                      | 145.8                        | 7500            | 42000         |      
ADP Core Black                                   | Heavy Armor  | 40%              | -75           | 105           | 26800                      | 145.8                        | 10500           | 55000         |      
Lynx Core Pariah                                 | Light Armor  | 20%              | -31           | 61            | 26000                      | 145.8                        | 8000            | 34000         |      
Microid Battle Suit Core Badland                 | Light Armor  | 20%              | -33           | 63            | 26000                      | 145.8                        | 5000            | 34000         |      
Venture Core Olive                               | Light Armor  | 20%              | -38           | 68            | 26000                      | 145.8                        | 9000            | 34000         |      
ADP Core Hurston Edition                         | Heavy Armor  | 40%              | -75           | 105           | 26800                      | 145.8                        | 10500           | 55000         |      
Venture Core Tan                                 | Light Armor  | 20%              | -38           | 68            | 26000                      | 145.8                        | 9000            | 34000         |      
Morozov-SH Core (Modified)                       | Heavy Armor  | 40%              | -90           | 115           | 26800                      | 145.8                        | 12000           | 55000         |      
Inquisitor Core Sienna                           | Medium Armor | 30%              | -56           | 86            | 26400                      | 145.8                        | 8500            | 42000         |      
Arden-SL Core Archangel                          | Light Armor  | 20%              | -35           | 65            | 26000                      | 145.8                        | 8000            | 34000         |      
Strata Core microTech Black                      | Medium Armor | 30%              | -61           | 91            | 26400                      | 145.8                        | 15000           | 42000         |      
TrueDef-Pro Core Base (mT Edition)               | Light Armor  | 20%              | -35           | 65            | 26000                      | 145.8                        | 5000            | 34000         |      
Venture Core Envy                                |              | n/a              | -38           | 68            | 26000                      | 145.8                        | 9000            | 34000         |      
Carnifex Armor Core (01_01_02)                   | Light Armor  | 20%              | -5            | 38            | 26000                      | 145.8                        | 2000            | 34000         |      
Artimex Core                                     | Medium Armor | 30%              | -61           | 91            | 26400                      | 145.8                        | 8500            | 42000         |      
MacFlex Core "Rust Society"                      | Light Armor  | 20%              | -37           | 67            | 26000                      | 145.8                        | 9000            | 34000         |      
Venture Core "Rust Society"                      | Light Armor  | 20%              | -37           | 67            | 26000                      | 145.8                        | 9000            | 34000         |      
PAB-1 Core Blue                                  | Light Armor  | 20%              | -40           | 70            | 26000                      | 145.8                        | 4000            | 34000         |      
GCD-Army Core                                    | Medium Armor | 30%              | -61           | 91            | 26400                      | 145.8                        | 7500            | 42000         |      
Inquisitor Core Yellow                           | Medium Armor | 30%              | -56           | 86            | 26400                      | 145.8                        | 8500            | 42000         |      
PAB-1 Core Purple                                | Light Armor  | 20%              | -40           | 70            | 26000                      | 145.8                        | 4000            | 34000         |      
Inquisitor Core Black Steel                      | Medium Armor | 30%              | -56           | 86            | 26400                      | 145.8                        | 8500            | 42000         |      
Aril Core Red Alert (IAE 2952)                   | Medium Armor | 30%              | -61           | 91            | 26400                      | 145.8                        | 15000           | 42000         |      
Morozov-SH-I Core Lifeforce                      | Heavy Armor  | 40%              | -75           | 105           | 26800                      | 145.8                        | 12000           | 55000         |      
Inquisitor Core Black                            | Medium Armor | 30%              | -56           | 86            | 26400                      | 145.8                        | 8500            | 42000         |      
Morozov-SH Core Terracotta                       | Heavy Armor  | 40%              | -90           | 115           | 26800                      | 145.8                        | 12000           | 55000         |      
ORC-mkV Core Imperial                            | Medium Armor | 30%              | -55           | 85            | 26400                      | 145.8                        | 7500            | 42000         |      
Microid Battle Suit Core                         | Light Armor  | 20%              | -33           | 63            | 26000                      | 145.8                        | 5000            | 34000         |      
Inquisitor Core Brimstone                        | Medium Armor | 30%              | -56           | 86            | 26400                      | 145.8                        | 8500            | 42000         |      
Lynx Core Firebrick                              | Light Armor  | 20%              | -31           | 61            | 26000                      | 145.8                        | 8000            | 34000         |      
ORC-mkV Core White                               | Medium Armor | 30%              | -55           | 85            | 26400                      | 145.8                        | 7500            | 42000         |      
DCP Armor Core Cobalt Camo                       | Heavy Armor  | 40%              | -70           | 100           | 26800                      | 145.8                        | 10500           | 55000         |      
MacFlex Core Sienna                              | Light Armor  | 20%              | -37           | 67            | 26000                      | 145.8                        | 9000            | 34000         |      
Aril Core Black Cherry                           | Medium Armor | 30%              | -61           | 91            | 26400                      | 145.8                        | 15000           | 42000         |      
Antium Armor Core Moss Camo                      | Heavy Armor  | 40%              | -95           | 120           | 26800                      | 145.8                        | 12000           | 55000         |      
Morozov-SH Core Vesper                           | Heavy Armor  | 40%              | -90           | 115           | 26800                      | 145.8                        | 12000           | 55000         |      
ADP Core                                         | Heavy Armor  | 40%              | -75           | 105           | 26800                      | 145.8                        | 10500           | 55000         |      
PAB-1 Core Sakura Sun Edition                    | Light Armor  | 20%              | -40           | 70            | 26000                      | 145.8                        | 4000            | 34000         |      
Defiance Core Scorched                           | Heavy Armor  | 40%              | -72           | 102           | 26800                      | 145.8                        | 10500           | 55000         |      
PAB-1 Core                                       | Light Armor  | 20%              | -40           | 70            | 26000                      | 145.8                        | 4000            | 34000         |      
TrueDef-Pro Core Black/Grey/Red                  | Light Armor  | 20%              | -35           | 65            | 26000                      | 145.8                        | 5000            | 34000         |      
ADP Core Red                                     | Heavy Armor  | 40%              | -75           | 105           | 26800                      | 145.8                        | 10500           | 55000         |      
Lynx Core Cold Steel                             | Light Armor  | 20%              | -31           | 61            | 26000                      | 145.8                        | 8000            | 34000         |      
DustUp Core Tactical                             | Medium Armor | 30%              | -60           | 90            | 26400                      | 145.8                        | 7500            | 42000         |      
Geist Armor Core ASD Edition                     | Light Armor  | 20%              | -35           | 65            | 26000                      | 145.8                        | 8000            | 34000         |      
ORC-mkX Core Autumn                              | Light Armor  | 20%              | -61           | 91            | 26400                      | 145.8                        | 7500            | 42000         |      
PAB-1 Core Crusader Edition                      | Light Armor  | 20%              | -40           | 70            | 26000                      | 145.8                        | 4000            | 34000         |      
ORC-mkX Core (XenoThreat)                        | Medium Armor | 30%              | -61           | 91            | 26400                      | 145.8                        | 7500            | 42000         |      
Inquisitor Core Icefall                          | Medium Armor | 30%              | -56           | 86            | 26400                      | 145.8                        | 8500            | 42000         |      
Arden-SL Core Rime                               | Light Armor  | 20%              | -35           | 65            | 26000                      | 145.8                        | 8000            | 34000         |      
ORC-mkV Core Scorched                            | Medium Armor | 30%              | -55           | 85            | 26400                      | 145.8                        | 7500            | 42000         |      
ORC-mkV Core Black                               | Medium Armor | 30%              | -55           | 85            | 26400                      | 145.8                        | 7500            | 42000         |      
Microid Battle Suit Core Lodestone               | Light Armor  | 20%              | -33           | 63            | 26000                      | 145.8                        | 5000            | 34000         |      
PAB-1 Core Violet                                | Light Armor  | 20%              | -40           | 70            | 26000                      | 145.8                        | 4000            | 34000         |      
Antium Armor Core Maroon                         | Heavy Armor  | 40%              | -95           | 120           | 26800                      | 145.8                        | 10500           | 55000         |      
Venture Core                                     | Light Armor  | 20%              | -38           | 68            | 26000                      | 145.8                        | 9000            | 34000         |      
Aves Talon Core                                  | Medium Armor | 30%              | -61           | 91            | 26400                      | 145.8                        | 7500            | 42000         |      
Defiance Core Desert                             | Heavy Armor  | 40%              | -72           | 102           | 26800                      | 145.8                        | 10500           | 55000         |      
ORC-mkV Core Crusader Edition                    | Medium Armor | 30%              | -55           | 85            | 26400                      | 145.8                        | 7500            | 42000         |      
MacFlex Core Aqua                                | Light Armor  | 20%              | -37           | 67            | 26000                      | 145.8                        | 9000            | 34000         |      
Microid Battle Suit Core Nomad                   | Light Armor  | 20%              | -33           | 63            | 26000                      | 145.8                        | 5000            | 34000         |      
Lynx Core Tan                                    | Light Armor  | 20%              | -31           | 61            | 26000                      | 145.8                        | 8000            | 34000         |      
TrueDef-Pro Core CDF                             | Light Armor  | 20%              | -35           | 65            | 26000                      | 145.8                        | 5000            | 34000         |      
Inquisitor Core Seagreen                         | Medium Armor | 30%              | -56           | 86            | 26400                      | 145.8                        | 8500            | 42000         |      
MacFlex Core Dark Green                          | Light Armor  | 20%              | -37           | 67            | 26000                      | 145.8                        | 9000            | 34000         |      
Morozov-SH Core Terrene                          | Heavy Armor  | 40%              | -90           | 115           | 26800                      | 145.8                        | 12000           | 55000         |      
Artimex Core Elysium                             | Medium Armor | 30%              | -61           | 91            | 26400                      | 145.8                        | 8500            | 42000         |      
Morozov-SH Core Aftershock                       | Heavy Armor  | 40%              | -90           | 115           | 26800                      | 145.8                        | 12000           | 55000         |      
FBL-8a Core Desert Digital                       | Light Armor  | 20%              | -32           | 62            | 26000                      | 145.8                        | 4000            | 34000         |      
MacFlex Core Dark Red                            | Light Armor  | 20%              | -37           | 67            | 26000                      | 145.8                        | 9000            | 34000         |      
Bokto Armor Core                                 | Heavy Armor  | 40%              | -95           | 120           | 27202                      | 147.99                       | 10500           | 55000         |      
Inquisitor Core Red                              | Medium Armor | 30%              | -56           | 86            | 26400                      | 145.8                        | 8500            | 42000         |      
ADP Core Twilight                                | Heavy Armor  | 40%              | -75           | 105           | 26800                      | 145.8                        | 10500           | 55000         |      
Artimex Core Red Alert                           | Medium Armor | 30%              | -61           | 91            | 26400                      | 145.8                        | 8500            | 42000         |      
ORC-mkX Core Arctic                              | Light Armor  | 20%              | -61           | 91            | 26400                      | 145.8                        | 7500            | 42000         |      
MacFlex Core Yellow                              | Light Armor  | 20%              | -37           | 67            | 26000                      | 145.8                        | 9000            | 34000         |      
ORC-mkV Core Green                               | Medium Armor | 30%              | -55           | 85            | 26400                      | 145.8                        | 7500            | 42000         |      
TrueDef-Pro Core Black/Gold/Silver               | Light Armor  | 20%              | -35           | 65            | 26000                      | 145.8                        | 5000            | 34000         |      
Lynx Core Frostline                              | Light Armor  | 20%              | -31           | 61            | 26000                      | 145.8                        | 8000            | 34000         |      
ORC-mkX Core Desert                              | Light Armor  | 20%              | -61           | 91            | 26400                      | 145.8                        | 7500            | 42000         |      
ORC-mkV Core Aqua                                | Medium Armor | 30%              | -55           | 85            | 26400                      | 145.8                        | 7500            | 42000         |      
Venture Core Red                                 | Light Armor  | 20%              | -38           | 68            | 26000                      | 145.8                        | 9000            | 34000         |      
Venture Core Executive                           | Light Armor  | 20%              | -38           | 68            | 26000                      | 145.8                        | 9000            | 34000         |      
Piecemeal Armor Core Olive                       | Light Armor  | 20%              | -31           | 61            | 26000                      | 145.8                        | 2000            | 34000         |      
ADP-mk4 Core Big Boss                            | Heavy Armor  | 40%              | -70           | 100           | 26800                      | 145.8                        | 10500           | 55000         |      
Lynx Core Violet                                 | Light Armor  | 20%              | -31           | 61            | 26000                      | 145.8                        | 8000            | 34000         |      
ADP Core Yellow                                  | Heavy Armor  | 40%              | -75           | 105           | 26800                      | 145.8                        | 10500           | 55000         |      
Inquisitor Core Purple                           | Medium Armor | 30%              | -56           | 86            | 26400                      | 145.8                        | 8500            | 42000         |      
Lynx Core Red                                    | Light Armor  | 20%              | -31           | 61            | 26000                      | 145.8                        | 8000            | 34000         |      
ADP Core Imperial                                | Heavy Armor  | 40%              | -75           | 105           | 26800                      | 145.8                        | 10500           | 55000         |      
Citadel Core Base                                | Heavy Armor  | 40%              | -80           | 110           | 26800                      | 145.8                        | 10500           | 55000         |      
MacFlex Core                                     | Light Armor  | 20%              | -37           | 67            | 26000                      | 145.8                        | 9000            | 34000         |      
DCP Armor Core Clawed Steel                      | Heavy Armor  | 40%              | -70           | 100           | 26800                      | 145.8                        | 10500           | 55000         |      
MacFlex Core Purple                              | Light Armor  | 20%              | -37           | 67            | 26000                      | 145.8                        | 9000            | 34000         |      
DCP Armor Core New Dawn                          | Heavy Armor  | 40%              | -70           | 100           | 26800                      | 145.8                        | 10500           | 55000         |      
DCP Armor Core Hunter Camo                       | Heavy Armor  | 40%              | -70           | 100           | 26800                      | 145.8                        | 10500           | 55000         |      
ADP-mk4 Core Exec                                | Heavy Armor  | 40%              | -70           | 100           | 26800                      | 145.8                        | 10500           | 55000         |      
Corbel Core Crush                                | Heavy Armor  | 40%              | -70           | 100           | 26800                      | 145.8                        | 8000            | 55000         |      
Defiance Core Tactical                           | Heavy Armor  | 40%              | -72           | 102           | 26800                      | 145.8                        | 10500           | 55000         |      
Antium Armor Core Midnight Sun                   | Heavy Armor  | 40%              | -95           | 120           | 26800                      | 145.8                        | 12000           | 55000         |      
PAB-1 Core Tan                                   | Light Armor  | 20%              | -40           | 70            | 26000                      | 145.8                        | 4000            | 34000         |      
Aztalan Galena Core                              | Light Armor  | 20%              | -35           | 65            | 26000                      | 145.8                        | 8000            | 34000         |      
ORC-mkX Core Nightfire                           | Light Armor  | 20%              | -61           | 91            | 26400                      | 145.8                        | 7500            | 42000         |      
ORC-mkV Core Tan                                 | Medium Armor | 30%              | -55           | 85            | 26400                      | 145.8                        | 7500            | 42000         |      
MacFlex Core Seagreen                            | Light Armor  | 20%              | -37           | 67            | 26000                      | 145.8                        | 9000            | 34000         |      
Morozov-SH Core Iceflow                          | Heavy Armor  | 40%              | -90           | 115           | 26800                      | 145.8                        | 12000           | 55000         |      
PAB-1 Core Desert                                | Light Armor  | 20%              | -40           | 70            | 26000                      | 145.8                        | 4000            | 34000         |      
Lynx Core Olive                                  | Light Armor  | 20%              | -31           | 61            | 26000                      | 145.8                        | 8000            | 34000         |      
Inquisitor Core Outcrop                          | Medium Armor | 30%              | -56           | 86            | 26400                      | 145.8                        | 8500            | 42000         |      
ADP Core Purple                                  | Heavy Armor  | 40%              | -75           | 105           | 26800                      | 145.8                        | 10500           | 55000         |      
ORC-mkV Core Hurston Edition                     | Medium Armor | 30%              | -55           | 85            | 26400                      | 145.8                        | 7500            | 42000         |      
Citadel Core Brimstone                           | Heavy Armor  | 40%              | -80           | 110           | 26800                      | 145.8                        | 10500           | 55000         |      
MacFlex Core Orange                              | Light Armor  | 20%              | -37           | 67            | 26000                      | 145.8                        | 9000            | 34000         |      

=== BACKPACKS ===
Name                                             | Type            | Damage reduction | Min temp (°C) | Max temp (°C) | Radiation Resistnace (REM) | Radiation Scrub Rate (REM/s) | Capacity (μSCU) | Volume (μSCU) | Image
Morozov-CH Backpack Brushdrift                   | Heavy Backpack  | n/a              |               |               |                            |                              | 150000          | 53000         |      
Novikov Backpack Mire                            | Heavy Backpack  | n/a              |               |               |                            |                              | 180000          | 62000         |      
Aril Backpack Hazard                             | Medium Backpack | n/a              |               |               |                            |                              | 127500          | 43000         |      
Stirling Exploration Backpack ASD Edition        | Heavy Backpack  | n/a              |               |               |                            |                              | 180000          | 62000         |      
Aril Backpack                                    | Medium Backpack | n/a              |               |               |                            |                              | 127500          | 43000         |      
Stirling Exploration Backpack Sediment Edition   | Heavy Backpack  | n/a              |               |               |                            |                              | 180000          | 62000         |      
Warden Backpack                                  | Heavy Backpack  | n/a              |               |               |                            |                              | 150000          | 51000         |      
Geist Backpack ASD Edition                       | Light Backpack  | n/a              |               |               |                            |                              | 54000           | 20000         |      
Stirling Hazard Backpack                         | Heavy Backpack  | n/a              |               |               |                            |                              | 180000          | 62000         |      
CSP-68L Backpack Cayman                          | Light Backpack  | n/a              |               |               |                            |                              | 54000           | 20000         |      
Novikov Backpack Halcyon                         | Heavy Backpack  | n/a              |               |               |                            |                              | 180000          | 62000         |      
Novikov Backpack Patina                          | Heavy Backpack  | n/a              |               |               |                            |                              | 180000          | 62000         |      
CSP-68L Backpack Night Camo                      | Light Backpack  | n/a              |               |               |                            |                              | 54000           | 20000         |      
Aril Backpack Red Alert (IAE 2952)               | Medium Backpack | n/a              |               |               |                            |                              | 127500          | 43000         |      
MacFlex Backpack Grey                            | Light Backpack  | n/a              |               |               |                            |                              | 75000           | 26000         |      
Pembroke Backpack RSI Edition (Modified)         | Heavy Backpack  | n/a              |               |               |                            |                              | 180000          | 62000         |      
Strata Backpack ArcCorp Edition                  | Medium Backpack | n/a              |               |               |                            |                              | 127500          | 43000         |      
Zeus Exploration Suit Backpack                   | Heavy Backpack  | n/a              |               |               |                            |                              | 180000          | 62000         |      
Strata Backpack Pyrotechnic Edition              | Medium Backpack | n/a              |               |               |                            |                              | 127500          | 43000         |      
Arden-CL Backpack Red Alert                      | Light Backpack  | n/a              |               |               |                            |                              | 54000           | 20000         |      
MacFlex Backpack Orange                          | Light Backpack  | n/a              |               |               |                            |                              | 75000           | 26000         |      
